**************************************************************************

This file provides the results obtained by BaBar for the process
e+ e- --> K+ K- (gamma) using the ISR method near 10.58 GeV.
It contains:

(1) The cross section (nb) and form factor values for 159 CM energy intervals (GeV) from 0.985 to 5 GeV.
The cross section is bare (excluding vacuum polarization) and includes the emission of final state photons.
The form factor is dressed (including vacuum polarization) and does not include the emission of final state photons.

(2) The source of systematic uncertainties and their values in the defined energy intervals. All the values for each source should be taken as 100% correlated in all energy bins. The sources are independent and their contributions should be added quadratically.  

(3) The statistical covariance matrix of the cross section, in the same energy bins as given for the cross section values. This matrix comes from the unfolding of the measured pi+ pi- mass distribution, the corrections between data and MC obtained in larger bins, and the ISR luminosity using the mu+ mu- gamma (gamma) process.
The statistical covariance matrix of the form factor can be derived from the statistical covariance matrix of the cross section using the formula:
cov(|FF|^2)ij = cov(Xsec)ij * (|FF|^2)i / (Xsec)i * (|FF|^2)j / (Xsec)j ,
with i and j being the bin numbers.

**************************************************************************
          
        (1) CROSS SECTION and FORM FACTOR

Energy interval      Cross section	         |FF|^2
   (GeV)                (nb)         

 2.220000 : 2.240000   0.254131              0.083319   
 2.240000 : 2.260000   0.312361              0.103591   
 2.260000 : 2.280000   0.130284              0.0437071  
 2.280000 : 2.300000   0.267993              0.090948   
 2.300000 : 2.320000   0.214109              0.0735064  
 2.320000 : 2.340000   0.150527              0.0522799  
 2.340000 : 2.360000   0.101883              0.0357981  
 2.360000 : 2.380000   0.159791              0.0568007  
 2.380000 : 2.400000   0.077845              0.027995   
 2.400000 : 2.420000   0.112938              0.0410903  
 2.420000 : 2.440000   0.119888              0.0441293  
 2.440000 : 2.460000   0.058670              0.0218484  
 2.460000 : 2.480000   0.053238              0.0200574  
 2.480000 : 2.500000   0.105640              0.0402651  
 2.500000 : 2.520000   0.079057              0.0304849  
 2.520000 : 2.540000   0.090945              0.0354783  
 2.540000 : 2.560000   0.103637              0.0409008  
 2.560000 : 2.580000   0.055571              0.0221867  
 2.580000 : 2.600000   0.081554              0.0329389  
 2.600000 : 2.640000   0.065937              0.0270965  
 2.640000 : 2.680000   0.044671              0.0187906  
 2.680000 : 2.720000   0.046153              0.0198975  
 2.720000 : 2.760000   0.037000              0.0163191  
 2.760000 : 2.800000   0.037379              0.0168643  
 2.800000 : 2.840000   0.039077              0.0180325  
 2.840000 : 2.880000   0.029040              0.0137046  
 2.880000 : 2.920000   0.038532              0.0185938  
 2.920000 : 2.960000   0.044669              0.0220508  
 2.960000 : 3.000000   0.021097              0.0106615  
 3.000000 : 3.040000   0.023581              0.01218    
 3.040000 : 3.080000   0.033780              0.0178306  
 3.080000 : 3.120000   0.020134              0.0108589  
 3.120000 : 3.160000   0.033130              0.0182542  
 3.160000 : 3.200000   0.017842              0.0100415  
 3.200000 : 3.240000   0.022872              0.0131462  
 3.240000 : 3.280000   0.024397              0.0143187  
 3.280000 : 3.320000   0.010055              0.00602484 
 3.320000 : 3.360000   0.030098              0.0184087  
 3.360000 : 3.400000   0.012148              0.00758292 
 3.400000 : 3.480000   0.012321              0.00792691 
 3.480000 : 3.560000   0.007684              0.00514224 
 3.560000 : 3.640000   0.008229              0.00572498 
 3.640000 : 3.720000   0.011026              0.00797708 
 3.720000 : 3.800000   0.005356              0.00402714 
 3.800000 : 4.100000   0.002496              0.00205096 
 4.100000 : 4.400000   0.003895              0.00365468 
 4.400000 : 4.700000   0.001578              0.00168218 
 4.700000 : 5.000000   0.001157              0.00139483 

**************************************************************************

          (2) RELATIVE SYSTEMATIC UNCERTAINTIES (in permil)

Sources  1   trigger/ filter 
         2   tracking
         3   pi-ID
         4   background
         5   acceptance
         6   kinematic fit chi2 cut
         7   ISR luminosity from mu mu gamma process
         8   unfolding
         9   VP correction 

             (total per energy interval)            


             Energy Intervals (GeV)

 sources  0.98:0.99  0.99:1  1:1.01  1.01:1.03  1.03:1.04  1.04:1.05  1.05:1.1  1.1:1.2  1.2:1.3  1.3:1.5  1.5:1.7  1.7:2.3  2.3:3      3:4      4:5
 1          1.0       0.7     0.7      0.7        0.7        0.8        0.8       0.6      0.5      0.4      0.4      0.4      0.4      0.5      0.5  
 2          1.8       1.8     1.9      2.8        2.8        2.8        5.3       7.2      8.2      8.8      9.2      9.7     10.0     10.2     10.2  
 3         10.6       8.8     5.4      4.1        6.5       12.7       12.8      13.0     16.3     26.3     33.1     41.1     51.4     52.1     54.4 
 4         157.2     20.9     1.6      0.1        0.3        0.6        1.1       4.9     11.8     18.5     13.6     56.0     24.3     67.6     243.5
 5          1.6       1.6     1.6      1.6        1.6        1.6        1.6       1.6      1.6      1.6      1.6      1.6      1.6      1.6      1.6 
 6          2.0       2.0     2.0      2.0        2.0        3.3        3.2       2.3      2.5      2.6      3.5      4.5      5.6     14.6     23.4 
 7          3.7       3.7     3.7      3.7        3.7        3.7        3.7       3.7      3.7      3.7      3.7      3.7      3.7     12.7     22.3 
                                                                                                                                                
 8          3.2       3.2     3.2       -         1.2        1.2        1.2       0.7      0.7      0.7       -        -        -        -        -  
                                                                                                                                                
 9           -         -      0.4      2.5        0.5         -          -         -        -        -        -        -        -        -        -  
                                                                                                                                                
 sum       157.7     23.4     8.2      7.2        8.5       14.1       14.9      16.4     22.3     33.7     37.3     70.4     58.1     88.1     251.8




**************************************************************************

            (3) STATISTICAL COVARIANCE MATRIX of the CROSS SECTION

2.70194619694380566E-03 
