**************************************************************************

This file provides the results obtained by BaBar for the process
e+ e- --> K+ K- (gamma) using the ISR method near 10.58 GeV.
It contains:

(1) The cross section (nb) and form factor values for 159 CM energy intervals (GeV) from 0.985 to 5 GeV.
The cross section is bare (excluding vacuum polarization) and includes the emission of final state photons.
The form factor is dressed (including vacuum polarization) and does not include the emission of final state photons.

(2) The source of systematic uncertainties and their values in the defined energy intervals. All the values for each source should be taken as 100% correlated in all energy bins. The sources are independent and their contributions should be added quadratically.  

(3) The statistical covariance matrix of the cross section, in the same energy bins as given for the cross section values. This matrix comes from the unfolding of the measured pi+ pi- mass distribution, the corrections between data and MC obtained in larger bins, and the ISR luminosity using the mu+ mu- gamma (gamma) process.
The statistical covariance matrix of the form factor can be derived from the statistical covariance matrix of the cross section using the formula:
cov(|FF|^2)ij = cov(Xsec)ij * (|FF|^2)i / (Xsec)i * (|FF|^2)j / (Xsec)j ,
with i and j being the bin numbers.

**************************************************************************
          
        (1) CROSS SECTION and FORM FACTOR

Energy interval      Cross section	         |FF|^2
   (GeV)                (nb)         

1.20931236253316970E-04 
2.31893510424685934E-05 
-3.85307811055744120E-05 
7.25143700768363537E-05 
5.70826096207421169E-03 
6.49704337214194409E-03 
-7.15610017811258402E-03 
1.47898325264478853E-01 
1.75540382741853768E-02 
1.16709893597728487E-01 
4.28864769225618600E-02 
2.38893040595377554E-01 
2.48920461761642842E-01 
2.47251896063194199E-01 
4.82930753465656837E-01 
1.24974972828826011E-01 
5.04880783687953194E-01 
7.60687129376280469E-01 
1.19252483551935673E+00 
6.42722692200693779E-01 
1.52796409191908267E+00 
2.22764055302686792E+00 
3.45903319546028110E+00 
4.21726799478310799E+00 
5.91484103736962474E+00 
1.25349524608046359E+01 
9.28389394837754445E+00 
1.00641703232632622E+01 
6.19303800200478882E+00 
5.43256941597645238E+00 
3.36378516355273671E+00 
2.76478805948355699E+00 
2.04572868613027348E+00 
1.36183897618265415E+00 
2.66711922712640548E-01 
-4.93391130700455594E-01 
-2.79644647407556368E+00 
9.32517907700856297E-01 
3.38464871553211566E+01 
-1.69950957256715940E+00 
-1.79529780033473552E+00 
-8.27461984590559307E-01 
9.06586206277275819E-01 
-3.86068143616953963E-01 
-1.21857205409112213E-01 
8.21515014020020140E-01 
5.71399722182982406E-01 
2.83263698376348128E-01 
1.85176062731270491E-01 
1.14992927357548513E-01 
2.22250705852520852E-01 
2.15786474101689052E-02 
1.96957425264973479E-02 
4.83130809353311749E-02 
1.01304473966726510E-01 
9.31890944346378813E-02 
-4.15842379831600356E-02 
1.62454702564970854E-03 
6.41532088928290778E-02 
2.56227922336933443E-02 
2.24254868756097285E-02 
1.64039254998696697E-02 
4.49365717796780736E-02 
3.65678056220351544E-02 
-3.29932965877682838E-02 
2.57051861939518560E-02 
-3.00360895212168633E-02 
2.65557447886657465E-02 
-2.44959794368676152E-03 
1.87807591197105585E-02 
-4.69562508318722288E-03 
2.81125010252719146E-02 
1.28864344338250805E-02 
-5.78708702153783120E-03 
1.67214204511428044E-02 
-4.51339861074922730E-03 
3.92797730217007372E-03 
-2.43365471910318145E-03 
1.50698433678729173E-02 
9.10796070424926135E-03 
6.91272082184450111E-03 
-1.21425432031222070E-02 
3.67658728086132794E-03 
2.76288371520423464E-03 
3.89395144843238941E-03 
-6.53082043889240908E-03 
1.03218063352152317E-02 
-7.44221746463149853E-04 
-4.15467679872181996E-03 
3.82707616486018367E-03 
6.89614267169424717E-03 
-2.95359758630879153E-03 
2.69251702282558957E-04 
3.86818939010820330E-03 
-1.55455203409285626E-04 
1.09411974926728918E-02 
-1.14237236568419447E-05 
-6.65549712507704488E-03 
3.63888334485387721E-04 
-4.10045487151253045E-03 
-1.07170257612506812E-03 
9.57872158659869855E-03 
2.71907875265220162E-03 
-2.63496028703071126E-03 
4.10683649791696980E-03 
1.12582818217824530E-03 
-1.69315308566552543E-03 
-1.75511892873694061E-03 
1.90223250819383707E-04 
1.66446035757466778E-03 
1.83433380241286256E-03 
-1.65264027241723453E-03 
-4.37068856521629148E-03 
3.41936529942937772E-03 
1.09888277848758519E-03 
-8.11589591189717120E-04 
3.83654841833726452E-03 
-5.77728513110927454E-04 
1.73644702780486877E-03 
-6.81113030591981648E-04 
-1.01395561735342595E-03 
-4.10697818149870404E-05 
-2.46792950339694110E-03 
1.39149044510434618E-03 
9.46910719357108412E-04 
-3.13079357345820159E-04 
-1.18682028228725791E-03 
1.20245048643309745E-03 
-5.50128927511572201E-04 
2.31947338597350035E-04 
1.23519303309416509E-03 
1.11454960025186324E-03 
5.09839252989277092E-04 
6.99836219705080639E-04 
2.55431173382022526E-04 
1.09888322174075351E-03 
-2.61248437265867127E-04 
4.54923991090388233E-04 
4.15258701871650413E-05 
8.14984724816180777E-05 
4.21547440694079842E-04 
1.73328328146932784E-03 
-3.76050533330339479E-04 
1.63514303358115856E-04 
2.94442006362945067E-04 
-3.72881204125268808E-04 
-2.07343530866926912E-04 
-3.79376307124679863E-04 
4.20472805862573363E-04 
1.09093957757631647E-04 
3.14877673964777136E-04 
-5.00724485170654546E-04 
8.86511302308638555E-05 
9.13432841815262618E-05 
2.55873087433848513E-04 
2.04614447332979947E-04 
-1.11243268495972382E-04 
2.53282622483880324E-04 
-3.48771036135810244E-05 
-6.36042922521958286E-05 
1.79409092263176499E-05 
-1.46151867154751292E-05 
9.81192702263508075E-06 
-1.20440409352462583E-03 
1.87683407548622618E-03 
3.07547739011782562E-02 
1.34096390367618529E-01 
1.12174804783790438E-01 
1.67103459034985302E-01 
6.80201766639716016E-03 
-8.01979191631456423E-02 
3.09100318645309180E-01 
-7.10992475992308082E-02 
3.49938792497797135E-01 
3.29088632061722119E-01 
9.21731448169992973E-01 
5.07895017787049374E-01 
5.12170931347074032E-01 
7.17352496396558292E-01 
1.10267794108988770E+00 
1.70280002218910242E+00 
1.50743719883247129E+00 
3.90233654471624947E+00 
6.98116814758111470E+00 
1.09758365410639716E+01 
9.47320167413842640E+00 
9.18219908310476640E+00 
6.84392945253898866E+00 
4.12010415555420373E+00 
2.78032119438543912E+00 
1.04676948577524032E+00 
2.21644334965726086E+00 
9.44195554849696306E-01 
9.50470690061554158E-01 
-1.80824299866422677E-01 
-4.15888966041939867E-01 
-1.83119178264522775E+00 
-1.69950957256715940E+00 
3.14218787243084989E+01 
-1.29383770397072428E+00 
-2.51541662939944644E+00 
-3.39355747320092327E-01 
7.58188786826669570E-02 
4.35865128440833360E-01 
3.69664705644298652E-01 
4.02977088468007116E-01 
2.33866372931010397E-01 
3.10506834471492077E-01 
2.72384884603056182E-02 
1.13215179794198956E-01 
1.80215240830306378E-01 
3.59552807779767170E-02 
2.53392429248544167E-02 
3.83516843806370814E-02 
1.39159174703059246E-01 
1.04783893339224415E-01 
5.04060556123404266E-02 
8.90084377407418803E-02 
5.67785419982680811E-02 
6.62196027331288760E-03 
2.26294537552682341E-02 
1.95884470623008747E-02 
1.59216277221027325E-02 
5.28862248738828748E-04 
-1.76082128601423304E-02 
2.40564667606130121E-02 
6.77270648184701875E-03 
1.05922781792100506E-04 
1.10052992968943768E-02 
-1.24292823548604915E-02 
1.37337795858888424E-02 
-5.05176050994445361E-03 
1.49260521209036642E-02 
9.44489877977972188E-03 
-9.68994826946132683E-03 
1.26770932948930166E-02 
6.68674485337441334E-03 
1.19407231896926230E-02 
-5.65869580910877135E-03 
8.19269995964540867E-05 
5.24523850542685157E-03 
7.11841138714648441E-04 
1.06669487592350801E-02 
2.18722327774531280E-02 
9.56713931615786259E-03 
-2.12623062396310233E-03 
-7.46184413584901479E-03 
-4.38608308610166382E-03 
6.69538558268188699E-03 
1.04325655419393922E-02 
6.68767471051458662E-03 
-6.02776767942927137E-03 
1.51497466002786969E-03 
-2.67890001688835672E-03 
4.55500758063305099E-03 
1.77095865257577314E-03 
7.51450924460182572E-03 
3.86180144016132080E-03 
-1.33780868558944633E-03 
2.30961171741992548E-04 
4.44164321514512427E-03 
1.39227393520799440E-05 
3.00281012306341782E-03 
-2.76611644282650322E-03 
7.77687435305190328E-04 
6.55550207547576100E-04 
-1.55006919595068976E-03 
1.80792239179356287E-03 
1.78317634775636996E-04 
1.80463927902931097E-03 
-2.39699275781539434E-03 
7.52499007447343421E-04 
-1.72364976998183703E-03 
7.35527384512377701E-04 
9.08764933590378130E-04 
-2.78726571691524823E-03 
-1.26069828802029618E-03 
-7.38141490543255748E-04 
-3.05219183130329714E-04 
7.13033011721595877E-04 
2.65330568480635865E-04 
6.15617947172785894E-04 
3.16801064728341358E-04 
-4.62742842260541567E-04 
1.57577787086918882E-03 
-2.15854810562294153E-03 
-2.92265208039615043E-04 
4.78444126857150288E-04 
6.38079311255017692E-05 
-1.65479304412766539E-03 
2.83041103775148837E-04 
1.77643974250734369E-03 
-3.39152022182084368E-03 
-7.37675041603195743E-04 
-1.08088366166949002E-04 
2.32293942538580259E-04 
-2.99021628155462496E-04 
-5.45690143738317623E-04 
-2.89039676079150775E-04 
3.52499537409941839E-04 
5.99462460986784919E-04 
6.44709938589545315E-04 
-5.87773257255035455E-05 
7.37248891007300953E-04 
-6.90575312361259926E-04 
-2.97340819387224788E-04 
9.13397823991558941E-05 
3.12864121246497805E-04 
-3.06063506911084153E-04 
-1.47093379877429341E-04 
-1.46474003146194060E-04 
8.02548241731557454E-06 
-1.48825629659201514E-04 
8.56390847604107105E-05 
-5.99451365370484482E-05 
-1.05742597438196318E-04 
3.48973625687039649E-04 
1.41459336524662685E-04 
-1.06954886762559778E-04 
2.81738272725104366E-05 
-3.69315949425768958E-05 
1.60504684613341475E-05 
-4.75581648644516491E-03 
5.42763635025498366E-04 
5.33433832411098641E-03 
-7.96129987242033682E-02 
5.60575967378519613E-02 
-3.33789011356303567E-02 
1.19217934150625329E-02 
-3.90405160532601228E-02 
1.45616973634573654E-01 
-4.43003226558226770E-02 
1.73855954024265291E-01 
2.50439064201451594E-02 
3.11409610409959181E-01 
5.78246449995968748E-01 
6.35032120653759025E-01 
1.12275471100056978E+00 
1.14402810494726292E+00 
2.21690727489687500E+00 
2.29815115389003299E+00 
3.38153568456420217E+00 
4.49227189321686549E+00 
1.15503704599379287E+01 
1.16335344108169494E+01 
8.26138676330104360E+00 
4.52832704034021205E+00 
4.15579274181264413E+00 
2.51672828959812911E+00 
1.03339122236857905E+00 
1.52202360468306885E+00 
1.86832838030639459E+00 
8.84961958291974105E-01 
4.17521250050196802E-02 
1.64699346632563609E-01 
-6.83111423337116941E-01 
-1.79529780033473552E+00 
-1.29383770397072428E+00 
2.65340101112302271E+01 
-1.57533873496427268E+00 
-1.13463392385265349E+00 
-6.04393011084226495E-01 
2.35778722245237354E-01 
5.34257166187464771E-01 
4.79740830574328814E-01 
2.66076782506842247E-01 
1.58949617995254311E-01 
7.60526878011437424E-02 
1.16590573392838959E-01 
5.91647866984155862E-02 
4.57859410074253070E-02 
6.17478376458944281E-02 
-4.07317462772805450E-02 
8.28408828339276537E-02 
4.78919149768157748E-02 
1.64602018916085377E-02 
1.11741180075135949E-01 
4.08683429918502220E-02 
4.29464632280324998E-02 
-1.30163214006470129E-02 
1.57999074067699079E-02 
1.71007015993474357E-02 
1.01048365701249428E-02 
2.54716479908994008E-02 
3.56102677154681354E-03 
-1.06181010322209911E-02 
1.03840114173704475E-02 
-7.37548627328262103E-03 
1.72095794060949624E-02 
3.77790050630415848E-04 
-1.55894816240094592E-02 
-1.75529185254369412E-02 
7.88659869975978992E-03 
-2.78532370854650026E-03 
-2.79094851226971592E-03 
-2.66375527320998227E-03 
1.23714949398785615E-03 
3.57691281709410268E-03 
1.36331330238675559E-02 
-2.42887442417704389E-03 
1.06004156072070661E-02 
-3.04898018800389475E-03 
9.90965317006608365E-04 
4.95067739906563352E-03 
6.58674302717575551E-03 
1.92245716794067485E-03 
9.91302693732099525E-03 
4.01004046207118370E-03 
-9.99465971422547166E-03 
5.59751282100454258E-04 
3.75060954114928404E-03 
1.47807515258124361E-05 
1.63472375332230453E-03 
6.56799504352566926E-03 
-1.13312827553141665E-03 
-1.89007787756238278E-03 
3.44097042187567590E-04 
9.56737490812241062E-03 
-1.29029992747983421E-03 
-3.58429223650623581E-03 
2.26589492560523055E-03 
-2.32706169502323477E-03 
1.63014419726728262E-03 
-8.52574026215576083E-04 
5.24171681221879873E-03 
1.25770358861879497E-03 
-1.30747744973835857E-03 
-1.27306383489610045E-03 
-2.51697833208210401E-03 
1.64930494949829540E-03 
9.85708223883151888E-04 
6.59041126732421670E-05 
1.79839285954581343E-03 
7.89574698888838755E-04 
-1.19470618883363755E-03 
-8.71902284288112828E-04 
-1.62843405846124062E-03 
-1.23041236529023768E-03 
1.04432565886732249E-03 
-1.90575196638677379E-03 
2.27307726313220578E-03 
2.83997822171969637E-03 
1.04567594709296680E-03 
-4.80870919321480753E-04 
5.11517579750191825E-04 
-1.09962536076898187E-03 
-1.32687977874680656E-04 
8.85884113810677839E-06 
7.11300308265303580E-04 
-2.16461227208506303E-03 
1.49236290278353554E-03 
5.57060777632972510E-04 
1.06313098915211484E-03 
7.76269859491386487E-05 
-9.69756552767040260E-04 
2.68088003198376553E-04 
-2.85434207931752916E-04 
-1.22419907975958872E-04 
2.14055622919721823E-05 
6.78650413996321100E-04 
5.05900659262699178E-05 
-6.03398115332803812E-05 
6.43627723802595004E-05 
1.51961720289904772E-05 
-3.24968162061793208E-04 
-1.43880505833237125E-04 
-2.71066260215162389E-04 
-2.62065725430645098E-04 
1.77551429937887478E-04 
-2.97945098072105085E-05 
4.71337350871236203E-04 
1.51007190972847277E-04 
1.61191672468618837E-05 
2.85582892518355057E-04 
1.67151981512727796E-05 
-3.05420119284687420E-04 
1.54808573663287594E-04 
-4.87626918820086133E-05 
-7.43397101439999004E-05 
3.94316668633329758E-06 
-1.01350040870549932E-05 
2.59051697138980427E-03 
-2.90136051509092127E-03 
-7.27485057762129132E-03 
1.45247527221031791E-01 
-1.05339937576781201E-01 
1.16201965903818621E-01 
-1.19678651135322167E-01 
2.70009028642303126E-02 
3.13066817323088609E-01 
4.39565064436827913E-02 
2.39374392049324175E-01 
8.49014627623896623E-02 
4.81537840988378485E-01 
-1.63517397856452362E-01 
4.59625849279293508E-01 
1.22452030742795248E+00 
2.24356097934400367E-01 
1.80954760469847376E+00 
1.46630033731015619E+00 
1.80840798238662503E+00 
4.57473282589704056E+00 
9.48359267672773498E+00 
1.11405019974963331E+01 
7.74647521869053257E+00 
3.44967319429132679E+00 
3.24543416986226374E+00 
2.54770294963905863E+00 
1.71339562032337533E+00 
6.67509684151853522E-01 
1.39801499785404837E+00 
7.25853851797263805E-01 
6.91852817218679972E-01 
4.45439191846706550E-01 
-5.63016495749960155E-01 
-8.27461984590559307E-01 
-2.51541662939944644E+00 
-1.57533873496427224E+00 
2.57968189084615673E+01 
-1.57768898251021317E+00 
-1.20032902099788608E+00 
-4.14250535084036198E-01 
-1.79289382548120935E-01 
1.40545910133278634E-01 
9.71581727347780449E-02 
1.16776956594239437E-01 
6.57125568610173322E-02 
8.53171887332116324E-02 
6.34808625844492935E-02 
1.16455864059054393E-01 
4.61008899809562597E-02 
4.24032751090418769E-02 
5.19060596525061438E-02 
4.66174714795611622E-02 
1.04964033094658543E-01 
8.69855613427093638E-02 
1.25422710483657218E-02 
1.63399416486567257E-02 
1.63249672660751091E-02 
1.40482596211053325E-02 
-9.28202926601262232E-03 
9.41979324895764279E-04 
1.09880145709901639E-02 
2.18737631168012571E-02 
-5.60900114913347007E-03 
4.37362821761048178E-03 
-9.36733326420878705E-03 
-7.07292774133993270E-03 
1.77025667386556812E-02 
5.03855087911955681E-03 
3.14312820033547935E-03 
1.78511224702087982E-03 
9.65965331374591708E-03 
1.41941232330258307E-02 
4.05082099371713474E-03 
-4.94997103637713314E-03 
4.88138089703425010E-03 
5.14031943347980757E-04 
1.11651620283602579E-02 
1.80109737584110245E-02 
1.61197701269481038E-04 
-9.46653279466140064E-03 
2.97135759428215768E-02 
-6.69659543770569554E-04 
-8.01078489365015037E-03 
9.81387431779638534E-04 
5.60154027546904635E-05 
-1.18351217513344817E-03 
-8.58069986273971280E-04 
1.67455819720656383E-03 
2.73132862067093987E-03 
1.77219261742103370E-03 
-2.52862089797685052E-03 
2.77045151274521928E-03 
1.02458643042585692E-03 
-3.59725411624749105E-03 
-1.69478484660801477E-03 
2.09391990396765341E-03 
-1.14116063667591013E-03 
-3.17195451869301621E-04 
2.17837535175547476E-03 
-1.74526239356490183E-03 
3.87935147117927231E-03 
-9.03909976230167012E-05 
2.56984931411463396E-03 
-1.85968946166172326E-03 
-4.18809016516486551E-03 
3.22333239540801642E-04 
-2.40151647683847335E-04 
-3.11463592853459918E-03 
2.42145219626939499E-03 
-1.00978433178895255E-03 
4.79767804470473264E-03 
-1.44826902474358941E-03 
-2.59051471562589831E-03 
2.31762070435038775E-03 
-2.93988922538015345E-04 
2.98459827008326888E-04 
8.16179326664811188E-04 
-1.30946126358609245E-03 
9.69977927508158290E-04 
-6.92144843939488394E-04 
3.63706494889735107E-03 
-1.31698763737635562E-03 
-2.98958974289420239E-04 
-6.81455642491373770E-04 
8.97967678623220610E-04 
-1.07199695159083388E-03 
1.03562673906764800E-03 
-1.03561207836390000E-03 
3.28408018846068931E-03 
9.36229711333657732E-05 
1.06454104502525104E-04 
-3.89981086011742791E-05 
-4.20934420863843591E-04 
2.23668342994812376E-04 
-4.13373362897447364E-04 
-1.62543486876132203E-04 
2.65321399086565989E-04 
-3.77492368755987331E-04 
-5.94434200681591700E-04 
7.03180611961204123E-04 
6.33635046589855252E-04 
1.22976513646578189E-03 
-4.34686298188852725E-04 
1.14884324417690174E-04 
9.49933007530698043E-05 
1.32055832249311386E-04 
-2.04662514141203421E-04 
-8.56940297376574149E-04 
2.33539370427338300E-04 
-1.92694747275676189E-04 
9.74743148008907812E-05 
-1.00762238205326488E-05 
6.28466082529740579E-05 
6.26717181027592598E-05 
-3.62146633035506174E-05 
-4.25045087159803769E-05 
2.93784583859016701E-05 
-3.41767503140676782E-05 
-3.96009360901640288E-03 
-4.10434160073158000E-03 
1.87734594795358790E-02 
-5.47025685548251372E-02 
1.20666572681949136E-01 
1.49696659362372197E-01 
9.24621329598332015E-02 
1.67976674621706165E-02 
2.20156625259293831E-01 
9.15361799134554177E-02 
1.60620637730553351E-01 
3.05960994184772128E-01 
-7.57702254682104948E-03 
2.12661701789631619E-01 
7.45191389757261513E-01 
-6.65227839500741047E-02 
3.32279131913054637E-01 
1.12751568822158532E+00 
3.07921099311741386E+00 
2.49709970295228700E+00 
5.14598946095339294E+00 
7.39125725898937347E+00 
8.72347047205532533E+00 
6.57221962399487936E+00 
3.63556759964337228E+00 
1.96829764385369677E+00 
2.09187120812274463E+00 
1.80947884809744264E+00 
1.55294081216805679E+00 
7.87189180990329751E-01 
6.21023135701377127E-01 
5.63874264504557132E-01 
3.15707568595522903E-01 
1.41942613952628505E+00 
9.06586206277275708E-01 
-3.39355747320092327E-01 
-1.13463392385265349E+00 
-1.57768898251021294E+00 
2.15132120263044939E+01 
-9.79718626360008060E-01 
-6.30311236452910428E-01 
-8.55983968948730745E-01 
-1.99483555856477646E-01 
2.37660516327973220E-01 
1.47350406566379100E-01 
4.87809471584611173E-02 
2.45148998526437921E-02 
8.00486657163821669E-02 
-5.01435111543060627E-02 
7.67201042407662653E-02 
1.07595955741150162E-02 
9.77217497624862652E-02 
2.41000611205674856E-02 
1.03520707431165926E-01 
1.74284888611750122E-02 
5.86334600724705002E-02 
2.22316125297341571E-02 
2.52857554658086486E-02 
8.31212429553572670E-03 
3.09718446518124774E-02 
3.09577836208924893E-02 
-1.16915951885012675E-02 
2.49715255697519969E-02 
9.66555509598302810E-03 
-1.17408716380845695E-02 
3.78022744353007393E-04 
-1.06088494000690439E-02 
-9.34930843440516480E-04 
-1.18455684011770750E-02 
2.55555688969552738E-03 
-1.87851071211292495E-03 
1.30567050543053658E-02 
-2.80157795175611183E-04 
1.18514812643033367E-02 
-3.76465517226532266E-03 
-2.42918170387026967E-03 
7.31748721297002282E-03 
-4.54219522208095233E-03 
-8.87367882116809649E-03 
-3.18237521097664662E-03 
1.25397396640733461E-02 
-5.96925606221025088E-03 
-3.70203260017438508E-03 
-1.72185255865823649E-03 
2.82440642179516369E-03 
-2.70633977981948491E-03 
4.34761251098063958E-03 
3.38625801863605847E-03 
-5.62821031176957438E-03 
-5.16317913269295519E-06 
2.19509722068270981E-04 
2.70213100501149814E-03 
-9.75223628156156861E-04 
-3.69162911527548196E-03 
2.04198248253372122E-03 
-6.46359419706305053E-05 
3.49493097021639143E-03 
3.47863483526238268E-03 
-5.63615554262790670E-04 
1.92114694077273954E-03 
2.20583912594609407E-03 
3.30283802440627886E-03 
-2.09059786196512561E-03 
1.71851145861680419E-04 
7.74004481937519634E-04 
1.68947963620976176E-03 
3.19512453767644084E-03 
2.83704994858146242E-03 
-1.56951208031187142E-03 
-1.59753325583186431E-03 
-1.17675511202056603E-03 
-2.51704684627061196E-03 
-1.08849366240283511E-03 
2.93941474011979404E-05 
3.58853503264368995E-04 
-1.82414775657680574E-04 
-3.44769025088297303E-03 
6.16315705331843696E-05 
-1.72203892089178195E-04 
-2.79563187035330725E-04 
-4.00085898404958990E-04 
-3.12376818576336345E-05 
1.20195407798717865E-03 
1.54580512962372097E-03 
-1.49459241901181032E-04 
5.44107199093526130E-05 
-2.70493910577061683E-04 
-6.12122032080859228E-04 
-6.16639671103061133E-04 
-8.42501735131278608E-04 
-6.48467306631212619E-04 
-4.24719346430080285E-05 
1.11396780253899362E-04 
3.54571081779110750E-04 
-4.78276394791084507E-04 
3.91180077168462462E-04 
3.96373834390350318E-04 
-1.03454855738941429E-03 
-1.46417162866670485E-04 
9.20771821988070299E-04 
-1.01636778633130997E-03 
8.28719585764317807E-04 
1.30982994803518804E-04 
3.17531185331001759E-04 
2.12535370165756036E-04 
3.99174353291261450E-04 
7.98565987634096923E-05 
-2.99817326565024608E-04 
5.79290982423879002E-04 
2.69353325772885225E-05 
-2.15182293024517310E-05 
-4.80203527761889722E-06 
5.69617136235599629E-05 
5.91408971493539315E-05 
-9.65297821153575283E-05 
1.28979583234212427E-05 
3.86025783311779174E-05 
1.03288552450329018E-05 
-2.23898181794234550E-05 
-5.36140632999723547E-04 
-3.59433072834891738E-03 
3.08732359007514202E-02 
-1.12055865443421165E-01 
-7.23290005408776249E-02 
7.42610345421447077E-02 
1.21095375971912653E-01 
3.62947557610799748E-02 
-4.15197811859067331E-02 
1.01661062536418920E-01 
2.48670501541745359E-02 
2.33255944361190903E-01 
2.06191203495249997E-01 
1.65607546989172100E-01 
9.62184175504273043E-01 
7.05401701994218921E-01 
1.13990010410310050E+00 
8.45470141693087873E-01 
1.41923769766444785E+00 
3.12434215785717129E+00 
7.15587132657688230E+00 
7.90007027872436929E+00 
8.28695040209742828E+00 
7.13727711296351952E+00 
3.54786378273315783E+00 
2.80471261147191786E+00 
1.12323448112868340E+00 
1.79337554516626962E+00 
1.11321481933207367E+00 
1.29019223202305833E+00 
8.22624770066593958E-01 
9.70705526906993854E-01 
3.99125024146114282E-01 
3.94801410456348589E-01 
-3.86068143616953963E-01 
7.58188786826669570E-02 
-6.04393011084226384E-01 
-1.20032902099788608E+00 
-9.79718626360008060E-01 
1.98703641439991294E+01 
1.44788689907283219E-01 
-1.40435925512446103E+00 
-6.32777674951773061E-01 
5.44557360042859512E-02 
1.56045041011764307E-01 
5.28765129038853005E-02 
-4.67452487141732653E-03 
1.36579410110918592E-01 
3.04424458296220779E-02 
7.67125927008802388E-02 
1.51227553740178565E-02 
1.22734563117300133E-01 
4.33112526514439281E-02 
3.77006672864620557E-02 
1.99008296834042898E-02 
1.08908482727999769E-02 
3.86148732159965064E-02 
1.51659127970679136E-02 
7.15536038651145775E-03 
2.27081198967789381E-02 
5.46823173567462587E-04 
-7.00778395726320627E-04 
1.12604433387200123E-02 
1.74025932284863558E-02 
7.97103361178061291E-03 
3.92307502909396925E-03 
6.81583771086464920E-03 
6.09262252123675754E-03 
1.50684104051634973E-02 
-1.86174973502867790E-03 
2.00152816169585167E-04 
1.54223885873972996E-02 
1.82498467682832392E-02 
1.13017472322787891E-02 
2.00973187529060438E-04 
1.08540329735516070E-02 
-1.29869781661236429E-04 
1.05617179815657575E-02 
5.75725281798522559E-03 
7.44116960341258387E-03 
-5.94880569364010254E-03 
3.57089965650324260E-03 
-3.48498622551693523E-03 
2.30192667514521852E-03 
-1.49145098754032974E-03 
2.42647172227889417E-03 
-1.46168196332086562E-03 
8.05410105700236651E-04 
-5.81962561083067048E-05 
3.21572043180457423E-04 
6.63142798784728386E-04 
3.63158462518269444E-03 
6.09274037955844015E-04 
3.57041645059588166E-03 
4.05003193862215130E-03 
-1.34599525490694625E-03 
5.15511354855898970E-04 
1.44595419639158979E-03 
-3.20068661674907044E-04 
-7.14667291812231815E-04 
4.76516844745817475E-04 
-7.62788605639935584E-04 
-2.54655869659432647E-03 
3.23802665116923981E-03 
-3.08008140092709201E-03 
8.55559032319264871E-04 
-3.89423334302924822E-03 
-2.17227551491530217E-04 
2.90498832754049153E-03 
1.36844425269552978E-03 
2.95408380473984608E-03 
3.39965395938692785E-03 
5.30873986682295069E-04 
4.98137840968207717E-03 
-3.98255830708579145E-03 
-2.75912699571948883E-04 
-1.05420446460970400E-03 
7.14560117830791500E-04 
-9.49154172439406084E-04 
-1.12693999942557722E-03 
3.12650093509631228E-04 
-5.08105427120593574E-04 
7.67174053022052159E-04 
-4.93755498078032071E-04 
-1.54988404093903522E-03 
-1.13730582847372725E-03 
-1.03133573759264493E-03 
5.49611710121717593E-04 
3.33971957928897627E-04 
-8.82730015791793519E-04 
5.24333168783485434E-04 
1.11473841815366804E-03 
-1.04354134961301613E-04 
2.61613826897583287E-04 
5.98557190294107398E-04 
-4.69673972532593019E-04 
3.44501933588968327E-04 
-4.46143572191442747E-04 
-9.06650259824770207E-05 
3.29986642826887526E-04 
-1.27964921136230954E-04 
1.40639357406391205E-04 
-4.57328309843129624E-04 
-5.75494214262777296E-04 
9.13563460301972775E-05 
5.75909510477199890E-04 
-3.71936423766184156E-04 
-9.25233178336077618E-05 
2.10628855352074763E-04 
-1.65558608785409917E-04 
-9.05282664630031360E-05 
1.34043741580177153E-04 
-2.97826822093735810E-05 
-1.00383216081944226E-04 
1.54831922530788112E-04 
-9.84041291410771876E-05 
1.59414642352320588E-05 
-2.05186771471101286E-05 
-3.08425737941603202E-06 
-8.00193806355941803E-04 
-1.85897909169662513E-02 
9.55231580696608816E-04 
3.13588725251919553E-02 
-2.10176152375578171E-02 
3.97827788180826411E-03 
7.66943443233244482E-02 
7.17825744341585026E-02 
1.27969012079532457E-01 
8.64898074529014821E-02 
1.05500423224945072E-01 
1.43953486461505797E-01 
2.37150530624070904E-01 
-4.96665137381820943E-02 
4.53149547247949536E-01 
5.05818649816926147E-01 
5.80796212367787779E-01 
9.84194512577228564E-01 
1.22778438337730433E+00 
2.24521978711084991E+00 
4.55718332506088331E+00 
7.77497425917228480E+00 
6.42207332028831956E+00 
6.01737931640351409E+00 
4.68578250368792570E+00 
3.07960744534495134E+00 
2.08522605546078132E+00 
1.62213588192732994E+00 
8.74770987293552738E-01 
8.16146099208756581E-01 
6.11932031080804961E-01 
2.86552596440093121E-01 
3.90163379564189450E-01 
1.68886941690729708E-01 
-1.21857205409112213E-01 
4.35865128440833360E-01 
2.35778722245237354E-01 
-4.14250535084036198E-01 
-6.30311236452910428E-01 
1.44788689907283219E-01 
1.75090086275447803E+01 
-1.28091763983436024E-01 
-4.24736230894708411E-01 
-1.18255834264956353E-01 
1.60040234126110792E-01 
1.40844706373043749E-01 
9.24921585572147514E-02 
7.35378672151683066E-02 
1.05899919907487400E-01 
3.67477468977861141E-02 
3.40841831423495528E-02 
